table,context
"{'column_header': ['location', 'coordinates', 'date', 'attack_type', 'weapons', 'deaths', 'injured', 'perpetrator'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Sint-Gillis-bij-Dendermonde,  Dendermonde, Belgium', '51°1′10″N 4°6′40″E\ufeff / \ufeff51.01944°N 4.11111°E\ufeff / 51.01944; 4.11111', 'January 23, 2009 10:00 a.m. (CET)', 'Mass stabbing', 'Knife\nHatchet', '3', '13 (including the attacker)', 'Kim de Gelder']}","A total of eighteen infants under the age of three and six adults were in the nursery at the time of the attack.[2][7] Two infants and one adult were killed;[2][8] six children, all between one and three years old, were seriously injured; another four suffered minor injuries; and nine escaped unscathed.[9] The alleged perpetrator left the scene on his bike.
A total of eighteen infants under the age of three and six adults were in the nursery at the time of the attack.[2][7] Two infants and one adult were killed;[2][8] six children, all between one and three years old, were seriously injured; another four suffered minor injuries; and nine escaped unscathed.[9] The alleged perpetrator left the scene on his bike.
Initial reports on Belgian television suggested that five people had been killed and twenty others had been injured,[11] with government officials only confirming the death of one adult and one child.[12] This number was later increased, as another infant had died from the injuries he had sustained. It has also been reported that some of the surviving children have needed plastic surgery due to serious mutilations.[citation needed]
The mayor of Dendermonde, Piet Buyse, said, ""The victims are being cared for and those who were not injured have been brought to a centre where they are receiving counseling.""[32]"
"{'column_header': ['presented_by', 'no._of_days', 'no._of_housemates', 'winner', 'runner-up', 'companion_shows', 'no._of_episodes', 'original_network', 'original_release'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Brian Dowling', '23', '12', 'Denise Welch', 'Frankie Cocozza', ""Big Brother's Bit On The Side"", '25', 'Channel 5', '5 January\xa0(2012-01-05)\xa0–27 January 2012\xa0(2012-01-27)']}","Frankie Cocozza (born 17 January 1993) is a former contestant in the eighth series of The X Factor; from which he was disqualified after evidence of cocaine use surfaced.[16] He was runner-up, coming second to celebrity Denise Welch."
"{'column_header': ['born', 'education', 'parent'], 'row_number': [1, 1, 1], 'content': ['(1982-12-10) December 10, 1982 (age\xa041)Vladivostok, USSR', 'Moscow State Institute of International Relations (BA)INSEAD (MBA)', 'Sergey Frank (father)']}","Gleb Frank (Russian: Глеб Сергеевич Франк, born December 10, 1982) is a Russian entrepreneur, the founder and former owner of the Russian Fishery Company and the Russian Crab, which are among the largest seafood harvesting companies of Russia.
Gleb Frank was born on December 10, 1982, in Vladivostok, USSR. His father, Sergey Frank, graduated as a marine engineer, made a successful career in FESCO and later served as the Minister of Transport of Russia from 1998 to 2004 during the presidencies of Boris Yeltsin and Vladimir Putin.[1][2]"
"{'column_header': ['country\xa0(sports)', 'born', 'prize_money', 'career\xa0record', 'career\xa0titles', 'highest\xa0ranking', 'australian\xa0open', 'french\xa0open', 'french_open\xa0junior', 'wimbledon\xa0junior', 'us_open\xa0junior', 'olympic\xa0games', 'fed_cup'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Netherlands', '(1967-04-07) 7 April 1967 (age\xa057)Netherlands', '$56,529', '105–65', '8 ITF', 'No. 71 (14 August 1989)', '1R (1989)', '1R (1988, 1990)', '1R (1984, 1985)', '1R (1984)', '3R (1985)', '1R (1984)', '1–3']}","Simone Schilder (born 7 April 1967) is a former Dutch tennis player. She won a total of two singles and eight doubles ITF titles in her career. On 4 July 1988, she reached a singles ranking high of world No. 164. On 14 August 1989, she peaked at No. 71 in the doubles rankings."
"{'column_header': ['born', 'nationality', 'occupation', 'known\xa0for', 'notable_work', 'spouse'], 'row_number': [1, 1, 1, 1, 1, 1], 'content': ['Gennaro Tomas Della Femina (1936-07-22) July 22, 1936 (age\xa087)Brooklyn, New York', 'American', 'Advertising executive', '""Madman"" advertising personality', 'From Those Wonderful Folks Who Gave You Pearl Harbor (1969)', 'Judy Licht']}","Jerry Della Femina (born 1936) is an American advertising executive and restaurateur.  Starting from a poor Italian background in Brooklyn, he eventually became chairman of Della Femina Travisano & Partners, an agency which he founded with Ron Travisano in the 1960s. Over the next two decades they grew the company into a major advertising house that was billing $250 million per year and had 300 employees and offices in both New York and Los Angeles.[1][2] Della Femina is known for his larger-than-life personality and colorful language, and was referred to as a ""'Madman' of Madison Avenue"". In 1970, he wrote a book about the advertising industry, humorously titled, From Those Wonderful Folks Who Gave You Pearl Harbor: Front-Line Dispatches from the Advertising War.  The book became a best-seller, described by The Guardian as ""one of the defining books about advertising"", and eventually inspired the television series Mad Men.[3][4][5]
Della Femina was born into a working-class family in Coney Island, Brooklyn.[6][7] His father, Michael, was a composing room employee for The New York Times.[8] Della Femina graduated from Lafayette High School and attended one year of night school at Brooklyn College.[9] In 1952, at age 16, he worked as a delivery boy for the Ruthruff and Ryan advertising agency. He also worked at The New York Times as a messenger boy, dropping off proofs at advertising agencies.[5] He tried unsuccessfully in 1954 to get into advertising himself and was repeatedly rejected until in 1961, when he landed a job as a copyeditor at Daniel & Charles, then worked through multiple other agencies. He worked for two and a half years at Delehanty, Kurnit & Geller, and then became a creative supervisor at Ted Bates Advertising.[citation needed]"
"{'column_header': ['full\xa0name', 'born', 'batting', 'bowling', 'role', 'relations', 'national_side', 'only_test_(cap\xa03)', 'odi_debut_(cap\xa039)', 'last_odi', 'odi_shirt_no.', 't20i_debut_(cap\xa06)', 'last_t20i', '2015–2019', '2016/17–2017/18'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Isobel Mary Helen Cecilia Joyce', '(1983-07-25) 25 July 1983 (age\xa040)Wicklow, Ireland', 'Right-handed', 'Left arm medium', 'All-rounder', 'John Anderson (husband)\nHelen Joyce (sister)\nGus Joyce (brother)\nEd Joyce (brother)\nDominick Joyce (brother)\nCecelia Joyce (twin sister)', 'Ireland (1999–2018)', '30 July 2000\xa0v\xa0Pakistan', '26 June 1999\xa0v\xa0India', '8 June 2018\xa0v\xa0New Zealand', '9', '27 June 2008\xa0v\xa0West Indies', '17 November 2018\xa0v\xa0New Zealand', 'Scorchers', 'Hobart Hurricanes']}","Isobel Mary Helen Cecilia Joyce (born 25 July 1983) is an Irish former cricketer. She played as a right-handed batter and left-arm medium pace bowler. She appeared in one Test match, 79 One Day Internationals and 55 Twenty20 Internationals for Ireland between 1999 and 2018. She played in her final match for Ireland in November 2018, during the 2018 ICC Women's World Twenty20 tournament.[1] She played domestic cricket for Scorchers, Tasmania and Hobart Hurricanes.[2][3]"
"{'column_header': ['born', 'nationality', 'education', 'occupation'], 'row_number': [1, 1, 1, 1], 'content': ['Zbigniew Kundzewicz(1950-12-04)December 4, 1950Augustów, Poland', 'Polish', 'Warsaw University of Technology', 'climatologist']}","Zbigniew Władysław Kundzewicz (born 4 December 1950 in Augustów, Poland) – is a Polish hydrologist and climatologist,[1] a professor of Earth Sciences,[1] and a corresponding member of the Polish Academy of Sciences and of Academia Europaea."
"{'column_header': ['position', 'league', 'born', 'nationality', 'listed_height', 'listed_weight', 'playing_career', '1994–1995', '1995–2002', '2002', '2002–2008', '2008', '2008–2009', '2009–2010', '2010–2011', '2011–2018', '2013', '2014–2016', '2018–2020', '2020–2023', '2023–present'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Power forward', 'BSLEuroLeague', '(1975-09-19) September 19, 1975 (age\xa048)Kaunas, Lithuanian SSR, Soviet Union', 'Lithuanian', '6\xa0ft 8.75\xa0in (2.05\xa0m)', '230\xa0lb (104\xa0kg)', '1994–2009', 'Statyba Jonava', 'Žalgiris Kaunas', 'Montepaschi Siena', 'Prokom Trefl Sopot', 'Žalgiris Kaunas', 'Aisčiai Kaunas', 'Žalgiris U16', 'Aisčiai Kaunas (assistant)', 'Žalgiris-2', 'Lithuania Under-19', 'Lithuania Under-20', 'Žalgiris Kaunas (assistant)', 'FC Barcelona (assistant)', 'Fenerbahçe Beko (assistant)']}","Tomas Masiulis (born September 19, 1975) is a retired Lithuanian professional basketball player and coach. During his playing career, at a height of 2.05 m (6'8 3⁄4"") tall, he played at the power forward position. During his coaching career, he was the head coach of Žalgiris-2. He is currently the assistant basketball coach for Turkish club Fenerbahçe Beko.
Tomas Masiulis (born September 19, 1975) is a retired Lithuanian professional basketball player and coach. During his playing career, at a height of 2.05 m (6'8 3⁄4"") tall, he played at the power forward position. During his coaching career, he was the head coach of Žalgiris-2. He is currently the assistant basketball coach for Turkish club Fenerbahçe Beko.
Masiulis started his club playing career with Statyba Jonava, in the Lithuanian Second Division (LKAL). After a year, he moved to Žalgiris Kaunas, of the Lithuanian First Division (LKL), where he played until mid-2002. Later, he moved to the Italian League club Montepaschi Siena.
Masiulis started his club playing career with Statyba Jonava, in the Lithuanian Second Division (LKAL). After a year, he moved to Žalgiris Kaunas, of the Lithuanian First Division (LKL), where he played until mid-2002. Later, he moved to the Italian League club Montepaschi Siena.
After finishing the season with that club, he moved to the Polish League club Asseco Prokom Gdynia. At the end of the 2007–2008 season, after that club changed owners, and Masiulis. After he was released, he seriously considered retiring.[1] However, after some of Žalgiris Kaunas' players sustained injuries, Masiulis joined Žalgiris Kaunas again.[2] His contract with Žalgiris Kaunas, which ended on December 16, 2008, was not extended, so Masiulis then signed a contract with Aisčiai Kaunas, on December 17, 2008. After the New Year, he extended the contract through the end of the season.[3]
After finishing the season with that club, he moved to the Polish League club Asseco Prokom Gdynia. At the end of the 2007–2008 season, after that club changed owners, and Masiulis. After he was released, he seriously considered retiring.[1] However, after some of Žalgiris Kaunas' players sustained injuries, Masiulis joined Žalgiris Kaunas again.[2] His contract with Žalgiris Kaunas, which ended on December 16, 2008, was not extended, so Masiulis then signed a contract with Aisčiai Kaunas, on December 17, 2008. After the New Year, he extended the contract through the end of the season.[3]"
"{'column_header': ['born', 'education', 'occupation', 'years\xa0active', 'agent', 'spouse', 'children', 'hangul', 'revised_romanization', 'mccune–reischauer', 'hanja'], 'row_number': [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 'content': ['Kim Jeong-eun (1983-11-22) November 22, 1983 (age\xa040)Seoul, South Korea', 'Dankook University – Theater and Film', 'Actress', '2001–present', 'Bless Entertainment', 'Raymon Kim (m. 2013)[1]', '1 (daughter)[2]', '김정은', 'Gim Jeong-eun', 'Kim Chŏng-ŭn', '金正恩']}","Kim Ji-woo (born Kim Jeong-eun on November 22, 1983) is a South Korean actress.[3]"
"{'column_header': ['born', 'alma\xa0mater', 'occupation', 'years\xa0active', 'notable_work'], 'row_number': [1, 1, 1, 1, 1], 'content': ['(1986-02-26) 26 February 1986 (age\xa038)Begusarai, Bihar, India', 'Sri Venkateswara College, University of Delhi', 'Actress', '2007–present', 'Dil Se Di Dua... Saubhagyavati Bhava?Balika VadhuKumkum Bhagya']}","Sriti Jha (born 26 February 1986) is an Indian actress who primarily works in Hindi television. Jha earned wider recognition with her portrayal of Pragya Arora Mehra in Kumkum Bhagya. She is a recipient of several accolades including two ITA Awards, two Indian Telly Awards and two Gold Awards.[1]
Jha was born on 26 February 1986 in Begusarai, Bihar.[3][4] She went to live with her family in Kolkata, where they stayed for 10 years, then moved to Kathmandu, Nepal. They then moved to New Delhi, where she continued her studies at Laxman Public School.[5] She completed her Bachelor of Arts degree in English at Sri Venkateswara College, New Delhi. She has an elder sister, Meenakshi and a younger brother, Shashank.[6][7] As a child artist, Jha appeared in Falguni Pathak's song ""O Piya"", in 2001.[8]"
"{'column_header': ['born', 'occupation', 'parent(s)'], 'row_number': [1, 1, 1], 'content': ['1988 or 1989 (age\xa034–35)Mogadishu, Somalia', 'Social Activist', 'Elman Ali Ahmed and Fartuun Adan']}","Ilwad was born between 1989 and 1990 in Mogadishu, Somalia.[2] One of four daughters,[3] she is the child of the late entrepreneur and peace activist Elman Ali Ahmed and social activist Fartuun Adan.[4]"
"{'column_header': ['governor', 'preceded_by', 'succeeded_by'], 'row_number': [1, 1, 1], 'content': ['Deval Patrick', 'office established', 'Matthew Malone']}","Paul Reville is a U.S. politician, teacher, school principal, and educational researcher who was the Massachusetts Secretary of Education from 2008 to 2013 under Governor Deval Patrick. He currently serves as the Francis Keppel Professor of Practice of Educational Policy and Administration at the Harvard Graduate School of Education.
Paul Reville is the Francis Keppel Professor of Practice of Educational Policy and Administration at the Harvard Graduate School of Education (HGSE). He is the founding director of HGSE's EdRedesign Lab. In 2013, he completed nearly five years of service as the Secretary of Education for the Commonwealth of Massachusetts. As Governor Patrick's top education adviser, Reville established a new Executive Office of Education and had oversight of higher education, K-12, and early education in the nation's leading student achievement state. He served in the Governor's Cabinet and played a leading education reform role on matters ranging from the Achievement Gap Act of 2010 and Common Core State Standards to the Commonwealth's highly successful Race to the Top proposal."
